,asin_id,name,price,rating,no_of_ratings
0,B077Z1R28P,Taco Cat Goat Cheese Pizza,$9.99,4.8 out of 5 stars,"8,517"
1,B07JZTBV9C,Taco vs Burrito - The Wildly Popular Surprisingly Strategic Card Game Created by a 7 Year Old,$19.99,4.4 out of 5 stars,"2,740"
2,B000809OAO,Ticket To Ride - Europe,$44.48,4.8 out of 5 stars,"4,788"
3,B07L437XBJ,Istanbul: Big Box Board Game,$55.89,4.8 out of 5 stars,86
4,B083YKSNN8,"Hasbro Gaming Mall Madness Game, Talking Electronic Shopping Spree Board Game for Kids Ages 9 and Up, for 2 to 4 Players",$24.99,4.2 out of 5 stars,114
5,B07SFKCPJ7,Latice Hawaii Strategy Board Game - The Remarkable Multi-Award-Winning Smart New Family Game. Intelligent Fun for Creative People.,$34.99,4.7 out of 5 stars,780
6,B074YN5CKM,Sid Meier's Civilization - A New Dawn,$32.95,4.5 out of 5 stars,287
7,B0813WY7V8,The Game Designers,$11.99,4.2 out of 5 stars,2019
8,B08412VYKZ,Ravensburger Disney Jungle Cruise Adventure Game for Ages 8 & Up - Amazon Exclusive,$34.99,4.6 out of 5 stars,487
9,B00GNG0BZE,Fun+1 Toys! Classic Wooden Chess Set - Wooden Chess Board and Staunton Style Wood Pieces - Board Game Set for Adults and Kids - 15 x 15 Inches,$19.49,4.5 out of 5 stars,429
10,B01MXWTYLF,Othello - The Classic Board Game of Strategy,$18.46,4.8 out of 5 stars,"1,134"
11,B014Q1XX9S,Czech Games Codenames,$15.39,4.8 out of 5 stars,"11,702"
12,B07FDYS8ZV,"The World Game - Geography Card Game - Educational Board Game for Kids, Family & Adults",$24.99,4.5 out of 5 stars,481
13,B00D2YEFG6,The Board Game: How Smart Women Become Corporate Directors,$9.99,5.0 out of 5 stars,by 
14,B08GP9VJT9,True Bid Board Games - Biden Trump 2020 Fun Family Board Games - Party Card Games for Adults - Donald Trump vs Joe Biden Board Game - Vote Election 2020,$34.98,-,-
15,1947494503,Gale Force Nine Dune Board Game,$39.99,4.8 out of 5 stars,399
16,B00LHJZ1OI,Hasbro Gaming The Game of Life Electronic Banking,$24.10,4.7 out of 5 stars,938
17,B07D5QHKJN,PlayMonster 5 Second Rule Game - New Edition,$16.67,4.6 out of 5 stars,"4,544"
18,B08C28J36K,"Generic Brands ELITEVER Large Size Foosball Winner Board Game Fast Sling Puck Sling Foosball, Desktop Battle Hockey Super Winner Foosball Slingshot Game Board for Hockey Fans, Birthday, Halloween",$33.99,-,-
19,0975277324,Ticket To Ride - Play With Alexa,$0,4.8 out of 5 stars,"9,070"
20,B004P0ZGDM,Fastrack Game,$18.30,4.5 out of 5 stars,947
21,B01GSYA4K2,"Indie Boards and Cards Terraforming Mars Board Game, Multicolor (6005SG)",$41.99,4.7 out of 5 stars,"1,742"
22,B00000J0JF,"Ravensburger Labyrinth Family Board Game for Kids and Adults Age 7 and Up - Millions Sold, Easy to Learn and Play with Great Replay Value (26448)",$31.98,4.8 out of 5 stars,"6,203"
23,B00IFWSO94,Scrabble Deluxe Edition Game,$38.13,4.6 out of 5 stars,"1,191"
24,B07QB98HV7,Monopoly Unicorns Vs. Llamas Board Game For Ages 8 & Up (Amazon Exclusive),$19.65,4.7 out of 5 stars,"2,612"
25,B085WL4LMG,Funko Back to The Future - Back in Time Board Game,$27.23,4.6 out of 5 stars,143
26,B000MMVQ3Q,Checkers/Chess/Backgammon - 3 Games in One with Full Size Staunton Chess Pieces and Interlocking Checkers,$6.99,4.2 out of 5 stars,"6,384"
27,B089GYBVSF,"Monopoly Junior: Unicorn Edition Board Game for 2-4 Players, Magical-Themed Indoor Game for Kids Ages 5 and Up (Amazon Exclusive)",$17.99,-,-
28,B003D7F4YY,Forbidden Island – The Cooperative Strategy Survival Island Board Game,$19.95,4.7 out of 5 stars,"4,980"
29,B085B1WHF7,WizKids Super-Skill Pinball: 4-Cade,$24.99,-,More Buying Choices
30,B01MRGY6G6,Plague Inc. The Board Game,$38.99,4.8 out of 5 stars,688
31,B06Y1N3PTX,Battleship With Planes Strategy Board Game For Ages 7 and Up (Amazon Exclusive),$24.43,4.7 out of 5 stars,"4,998"
32,B07HM7WZT9,Rio Grande Games Power Grid Recharged,$35.70,4.8 out of 5 stars,127
33,B00GDI4HX4,Coup (The Dystopian Universe),$11.99,4.8 out of 5 stars,"4,465"
34,B000NP4832,"University Games Smart Ass The Ultimate Trivia Board Game for Families & Adults Ages 12 & Up, The Perfect Tabletop Game For Parties & Events, Model:1360",$17.96,4.6 out of 5 stars,"2,594"
35,B06XY881H4,Connect 4 Strategy Board Game for Ages 6 and Up (Amazon Exclusive),$11.99,4.8 out of 5 stars,"4,426"
36,B0002HYHT6,HABA Monza - A Car Racing Beginner's Board Game Encourages Thinking Skills - Ages 5 and Up (Made in Germany),$24.99,4.7 out of 5 stars,564
37,B07WTNZ1XF,"Scrabble, Monopoly, and Clue Vintage Board Game Bookshelf Collection",$99.95,4.7 out of 5 stars,70
38,B002SQBB3O,Calliope Tsuro - The Game of The Path - A Family Strategy Board Game,$29.98,4.8 out of 5 stars,"1,995"
39,B01MQ4IKQJ,Ticket to Ride - First Journey,$28.00,4.8 out of 5 stars,873
40,B01FSV380Y,PlayMonster 5 Second Rule Uncensored Game,$11.99,4.6 out of 5 stars,"3,470"
41,B076MFY2LK,Pun Intended - It's All Pun and Games - Perfect Game for Pun Lovers,$24.99,4.6 out of 5 stars,889
42,B00004W60G,Wit's End Board Game,$36.95,4.4 out of 5 stars,663
43,B005COHOM6,Kingdom Builder,$36.92,4.6 out of 5 stars,388
44,B00MOURUR0,"Samsung Galaxy Tab 3 Lite (7-Inch, Dark Gray) (Renewed)",$0,4.1 out of 5 stars,224
45,B0778TY7XP,...I should have known that! Trivia Game,$20.00,4.4 out of 5 stars,"2,766"
46,B01N3A4070,Blue Orange Games Kingdomino Award Winning Family Strategy Board Game,$18.36,4.8 out of 5 stars,"2,476"
47,B07S21TXZH,"CX L SUM Magnetic Dart Board, Indoor Outdoor Dart Games for Kids with 12pcs Magnetic Darts, Safety Toy Games, Rollup Double Sided Board Game Set for Gifts",$19.88,4.6 out of 5 stars,788
48,B003D7F4YY,Forbidden Island – The Cooperative Strategy Survival Island Board Game,$19.95,4.7 out of 5 stars,"4,980"
49,B07N5ZS5QP,"Amerous 15 Inches Magnetic Wooden Chess Set - 2 Extra Queens - Folding Board, Handmade Portable Travel Chess Board Game Sets with Game Pieces Storage Slots - Beginner Chess Set for Kids and Adults",$29.99,4.6 out of 5 stars,"1,199"
50,B08637FBDR,"Plaid Hat Games Forgotten Waters: A Crossroads Game, Various (PH2900)",$50.11,4.8 out of 5 stars,40
51,B087XXTXBZ,The UpsideDownChallenge Game for Kids & Family - Complete Fun Challenges with Upside Down Goggles - Hilarious Game for Game Night and Parties - Ages 8+,$19.99,4.6 out of 5 stars,224
52,B07ZP8HFNP,Joyful Mathematics MULTI Board Game,$25.00,5.0 out of 5 stars,3
53,1223063151,Winning Moves Tile Lock Scrabble,$16.96,4.4 out of 5 stars,"3,599"
54,B083YKHS8H,"Operation Pet Scan Board Game for 2 or More Players, Kids Ages 6 and Up, with Silly Sounds, Remove The Objects or Get The Buzzer",$19.82,4.6 out of 5 stars,115
55,B07XKSQ7VX,Gunpowder Studios Bag of Dungeon - A Fantasy Adventure Board Game for 1-4 Players,$44.99,4.7 out of 5 stars,102
56,B06XZ9K244,"Magilano SKYJO The Ultimate Card Game for Kids and Adults. The Ideal Board Game for Funny, Entertaining and exciting Playing Hours with Friends and Family.",$14.95,4.8 out of 5 stars,"9,436"
57,B088212FR3,Board Games: Games for Virtual Teams,$0.00,1.0 out of 5 stars,by 
58,B085Q3TND1,Drone Home Game with Real Flying Drone,$19.82,4.3 out of 5 stars,20
59,B00IFWSO94,Scrabble Deluxe Edition Game,$38.13,4.6 out of 5 stars,"1,191"
60,B0771YL7DZ,Monopoly Game: Cheaters Edition Board Game Ages 8 and Up,$19.99,4.6 out of 5 stars,"4,183"
61,B01IWALX00,"Watch Ya' Mouth Family Edition - The Authentic, Hilarious, Mouthguard Party Game",$15.99,4.6 out of 5 stars,"8,486"
62,B001SN8GF4,"USAOPOLY Telestrations Original 8 Player, Family Board Game, A Fun Family Game for Kids and Adults, Family Game Night Just Got Better, The Telephone Game Sketched Out, Multicolor",$25.23,4.8 out of 5 stars,"4,905"
63,B07L437XBJ,Istanbul: Big Box Board Game,$55.89,4.8 out of 5 stars,86
64,B00004W60G,Wit's End Board Game,$36.95,4.4 out of 5 stars,663
65,B01ALHAMTK,Monopoly Ultimate Banking Board Game,$24.68,4.5 out of 5 stars,"4,362"
66,B0116LV906,The Next Great American Game,$14.99,-,2015
67,B07NDRRP33,"Election Night! Board Game - Winner of 2019 Parents Choice Gold Award. A Super Fun Way to Learn Essential Math, Geography and Civics While Strategizing Your Way to The White House.",$39.95,4.7 out of 5 stars,196
68,B07G2VHPRW,USAopoly USOBL123537 Blank Slate,$0,4.8 out of 5 stars,"1,403"
69,B01M3UZGD9,Kids Create Absurdity: Laugh Until You Cry! A Hilarious Family Card Game for Bored Kids and Game Night Fun,$19.95,4.6 out of 5 stars,993
70,B08D8S6SBR,"Fast Sling Foosball Puck Game Board Game Middle Size, Table Desktop Battle 2 in 1 Ice Hockey Game, Funny Battle Board Games for Adults or Kids Party Home Parent - Child Game",$19.98,4.5 out of 5 stars,22
71,B00V82MG2O,HASBRO GAMING:Chutes and Ladders Board Game,$11.99,4.8 out of 5 stars,"1,227"
72,B08FSZQCZD,Stonemaier Games Wingspan with Swift Start Pack & Wingspan European Expansion Board Game,67.26,5.0 out of 5 stars,3
73,B0002HYHT6,HABA Monza - A Car Racing Beginner's Board Game Encourages Thinking Skills - Ages 5 and Up (Made in Germany),$24.99,4.7 out of 5 stars,564
74,B000MMVQ3Q,Checkers/Chess/Backgammon - 3 Games in One with Full Size Staunton Chess Pieces and Interlocking Checkers,$6.99,4.2 out of 5 stars,"6,384"
75,B002SQBB3O,Calliope Tsuro - The Game of The Path - A Family Strategy Board Game,$29.98,4.8 out of 5 stars,"1,995"
76,B0792JY6G4,Starling Games: Everdell Board Game,$60.00,4.8 out of 5 stars,493
77,B06XW8R798,Avalon Hill Betrayal at Baldur's Gate Board Game,$35.00,4.8 out of 5 stars,513
78,B005COHOM6,Kingdom Builder,$36.92,4.6 out of 5 stars,388
79,B01MQ4IKQJ,Ticket to Ride - First Journey,$28.00,4.8 out of 5 stars,873
80,B084D2XQ9F,USAOPOLY HUES and CUES/Vibrant Color Guessing Game Perfect for Family Game Night/Connect Clues and Colors Together/480 Color Squares to Guess,$19.99,4.8 out of 5 stars,9
81,B07HM7WZT9,Rio Grande Games Power Grid Recharged,$35.70,4.8 out of 5 stars,127
82,B01N6PRX20,Hasbro Guess Who Classic Game,$0,4.6 out of 5 stars,"11,518"
83,B07MLXK4TZ,Winning Moves Games Pretty Princess Board Game,$16.99,4.7 out of 5 stars,"2,803"
84,B07GH9DS26,Discover: Lands Unknown,$19.22,4.0 out of 5 stars,99
85,B01BDK1O64,Ouija Board Game,$19.99,4.3 out of 5 stars,"1,574"
86,B085WL4LMG,Funko Back to The Future - Back in Time Board Game,$27.23,4.6 out of 5 stars,143
87,B085WL16T6,Godzilla Tokyo Clash Board Game,$27.99,4.8 out of 5 stars,47
