,asin_id,name,price,avg_rating,no_of_ratings
0,B076HK9H7Z,Sorry! Game,0.0,4.7,7555
1,B08GD242TJ,Hasbro Gaming Guess Who? Game Original Guessing Game for Kids Ages 6 and Up for 2 Players,9.97,4.9,30
2,B00C0ULS3G,Battleship Classic Board Game Strategy Game Ages 7 and Up For 2 Players,0.0,4.7,4151
3,B08636S37Z,Funko Disney The Haunted Mansion – Call of The Spirits Board Game,24.97,4.7,84
4,B07B7KS87Q,Game Of Life,19.99,4.7,4284
5,B00000DMF5,"Hasbro Gaming Candy Land Kingdom Of Sweet Adventures Board Game For Kids Ages 3 & Up (Amazon Exclusive),Red,Original version",12.99,4.8,7566
6,B01JYVHMVA,Clue Game,0.0,4.7,5362
7,B00000IVAK,"SEQUENCE- Original SEQUENCE Game with Folding Board, Cards and Chips by Jax",15.17,4.8,11880
8,B00D7OAOYI,Trouble Game,0.0,4.5,7924
9,B013TO5PDU,Retro Series Clue 1986 Edition Game,21.21,4.8,2205
10,B001FA22DC,"Pressman Mancala - Real Wood Folding Set, with Multicolor Stones by Pressman",8.73,4.7,3914
11,B0884D362F,"Monopoly: Star Wars The Mandalorian Edition Board Game, Protect The Child (Baby Yoda) from Imperial Enemies",29.97,4.9,14
12,B07TS96J7Q,"Throw Throw Burrito by Exploding Kittens - A Dodgeball Card Game - Family-Friendly Party Games - Card Games for Adults, Teens & Kids",24.99,4.7,5189
13,B01MU9K3XU,Monopoly Classic Game,19.99,4.8,10481
14,B083YKWBC1,"Hasbro Gaming Monopoly: Disney Villains Edition Board Game for Kids Ages 8 and Up, Play as a Classic Disney Villain",29.99,4.4,83
15,B07YQ641NQ,"Wingspan Board Game - A Bird-Collection, Engine-Building Stonemaier Game for 1-5 Players, Ages 14+",45.0,4.9,1339
16,B00IL5XY9K,Scrabble Game,17.99,4.7,5470
17,B083XMTCKP,Ravensburger Disney Villainous: Perfectly Wretched Strategy Board Game for Age 10 & Up - Stand-Alone & Expansion to The 2019 Toty Game of The Year Award Winner,24.97,4.8,4946
18,B06XYLL66Y,"Hasbro Monopoly Junior Board Game, Ages 5 and up (Amazon Exclusive)",14.99,4.8,2906
