,asin_id,review_id,review_title,review_description,user_rating
0,B076HK9H7Z,R1OSPWS88F2CUZ,DO NOT BUY!!!,"  I would give this zero stars if I could! If you’re into the original sorry game, DON’T buy this version. They changed the rules entirely while ruining the whole game! There are no longer 4 pawns per person, they only have 3! And rather than only being able to get out on a 1 or 2, you can now get out on any number.. oh and the “sorry!” card which allows you to bump someone back to start, now also has the option to move 4 places. It’s like this game was created for this new generation of entitled children that can’t take the time to finish a challenging game the right way without throwing a fit because they have instant gratification issues. Wish I opened it sooner so I could return it. I am very diasspointed in this update!!",1.0
1,B076HK9H7Z,R1DCFJ8VYSN17B,Is this the millennial version?,"  This is not the original sorry game. It only has 3 pawns per team instead of the traditional 4. The rules are different also. These rules state that you can exit your home zone with any forward moving card..which is everything except for 4?!?! They ruined the game! This is like the millennial version, do everything to make it easier for the players to make it a quick game. Very sad. Look for the original!",1.0
2,B076HK9H7Z,R1V07N4GXA7RSL,Wimp and Crybaby Edition,"  We bought this to replace our old Sorry game that was falling apart.  I wish we had read the reviews first instead of assuming it was still the classic Sorry--it is definitely not.Differences:- Game board design (doesn't look as good, but it doesn't interfere with play)- 3 pawns instead of 4- Sorry cards can be used to move you forward 4 spaces- Can leave Start on ANY forward-moving card- The 2 card doesn't have you draw againHonestly, if I had known those things, I would NOT have bought this game.  One reviewer called it the Millennial version, and I'm going to agree.  The original game was an excellent tool for teaching kids to suck it up if things didn't go the way they wanted.  Everyone else's pawns are out and yours are still in Start because you haven't drawn a 1 or 2?  Too bad!  Your opponent drew a Sorry card and sent you home?  Deal with it!  This new version is for wimps and crybabies.And why only 3 pawns?  Cutting costs, most likely.Hasbro, you've mucked up a great game.  I'll be looking for the real version and donating this one (though I might put a warning on the box).",1.0
3,B076HK9H7Z,R2Z262NZDEU2EY,NOT the original/regular Sorry!,"  Be warned that this is not the sorry you grew up with. This has only three tokens per player, and the rules are different and make it much easier and in my opinion not as fun. I think this version is good for kids ages 4-8ish. My kids are a little older so we returned this and got the original version, which we all love. I don't think the description on this one is clear enough, so we didn't know we weren't getting the normal Sorry that's been around for decades.",2.0
4,B076HK9H7Z,RG3XIFV1PUX9Y,"Not the classic by a long shot, but okay.","  Definitely not the classic game, with only 3 pawns each and cards instead of dice, but this version did go significantly faster than I recall from my childhood. I bought this along with some other games for our biweekly game nights and was pretty disappointed when I opened the box. But it turned out pretty okay. It will be easier to play with younger kids (or adults like my husband) with short attention spans.",4.0
5,B076HK9H7Z,R2H041QAA230ZV,Buyer beware! Not the traditional game!,"  I love classic Sorry and bought this as a replacement for a worn out set. I didn't read the description well enough so it's my fault, but we are very disappointed. This only has 3 pawns for each color and the cards aren't all the same.",3.0
6,B076HK9H7Z,R270ZSYIA1A6TC,This is an excellent set in a sturdy box with good cards,"  This is an excellent set in a sturdy box with good cards, pawns, and gameboard in it for playing a new version of Sorry, not the classic version. For the price and what you get, it's worth it. I knew, though, what I was buying when I bought this game set...that's why I only gave it a 4. I bought it to get the colored cards that were in this set because that's what my daughter wanted for her kids and no other set had them. I put the colored cards in the classic Sorry game set I'm giving my grandson for his birthday. I knew when I bought it that there were only three pawns of each color...I'm giving the pawns to her to use as spares (you know how little things get lost when you have kids! LOL!). I'm not a fan of the tri-fold gameboard, but this gameboard did lie flat without a gap, even though it was thinner that other Sorry gameboards. The pawns are sturdy and in opaque bright colors and the game cards were a trifle thinner than other Sorry game cards but sturdy enough for the usual playing of the game. All in all, if you realize that what you are getting is a new version of Sorry, not the classic version, you will be happy with the quality of the product. I am happy with the quality of the product.",4.0
7,B076HK9H7Z,R2RKD5V1AY4T4Y,Four Stars,  Since when does each color only have three pieces instead of four?,4.0
8,B076HK9H7Z,RMDX45RE851CV,Save your money!,"  I think Amazon needs to offer a minus star category! Hasbro missed the mark by a country mile on this game. Could the game experts at Hasbro please tell me the reasons behind changing the game so completely from the original version? This version is so bad that we used a fine Sharpie and corrected the cards to read what they were in the original. If you are thinking of buying this game, DON'T! Instead come up with an additional $6 and buy the retro version.",1.0
9,B076HK9H7Z,RKHWNKOK55CXC,Not the original game. Rules bent to let everyone feel good. So sad.,"  This new version is what’s SORRY. they changed all the rules and everyone gets to go everyone. No more actual competition in this game of chance. So sad,so sorry. I want the original game back. This is just as bent and twisted like all the New Democratic rules to let everyone feel like they ‘won’ where’s the competition??? I’m surprised this version didn’t come with a participation trophy for everyone as well.",1.0
10,B076HK9H7Z,R3C3FCTLE3MO2L,Missing pieces,"  Just opened the game to find a missing blue, red and green piece.",1.0
11,B076HK9H7Z,R3P12ZPE1K83WM,This is a great step before we move onto tougher games,  Haven't played this since I was a kid.  Now my 6 year old MAKES me play! hehe.  She learned basic moving with 'Chutes and Ladders' so I moved up to this.  She's learning how to juggle three pawns and learning strategy.  This is a great step before we move onto tougher games.,4.0
12,B076HK9H7Z,R2UIHS3AUR8Y4S,Not the same Sorry I grew up with.,"  This is not the original Sorry I grew up with. They made it way too easy, by changing a few rules (you can move out of start with any forward-moving number card, instead of having to draw a 1 or 2) and decreasing the amount of pieces to move per player to 3. After playing the old one with my young kids, this one was a major let down. If you can, track down the older version. Skip this one.",1.0
13,B076HK9H7Z,R3VTSCGM76CY5V,NOT the original SORRY!,"  This is NOT like the original SORRY! game.  I would NOT purchase if you’re looking for the original.  This game only has 3 pawns per color, the rules are different (you can leave start on any number..) it’s just a cheap version and nothing indicates that it would be this way. Spend the extra $$ and buy the real game.",1.0
14,B076HK9H7Z,R21L3BK3B5LXO1,"Dumbed down version, unclear description","  Im an frustrated. I bought this game, for $5, thinking its a good cheap game. Who doesnt love sorry?! But it is the dumbed down version of this game. Only 3 pawns each, and rules and cards are different. I would not have purchased this version had i known. I even read the description which stated 4 pawns. I havent decided if i will return it yet. But this is super disappointing.",2.0
15,B076HK9H7Z,RDAT6TBRS7IPO,Does not include fire and ice rules :-/,  We ordered this during the holiday sale because our friends had it and we absolutely loved playing it. The deal seemed like a steal too. We finally got round to opening it this week to play and it has no fire and ice tokens or cards! It is the super old version which is super boring!! I wish they would have listed that somewhere. It was a total waste of money as it is quite boring without those 2 tokens. Be warned that it does NOT include those so the cards also dont have any taking all the fun away!Now figuring out how to return :-/,1.0
16,B076HK9H7Z,R3HUP4TZVNPVM,The older version is much better.,  There are a bunch of rule changes and only has 3 pieces per color.  The older version is much better.,1.0
17,B076HK9H7Z,R35Z72VNIIJ41I,Thank you Liz!😎,"  I got this as a BD gift for my daughter in law during the shelter in place order. I wanted something my granddaughter could also play with the family. No gift wrapping or note, but hey, Amazon is hard hit to get us our orders. A big thank you to Liz for the included note. Wishing you, your family and co-workers best of luck as we ride this pandemic wave. Be safe, keep washing your hands and donning a mask!",5.0
18,B076HK9H7Z,RP1BXXQO1KSGX,The ultimate in corporate greed and cheapness...,"  My kids, my grand-kids and I have been playing Sorry for years. I just wanted to get an extra set for my house so the kids didn't have to bring it with when they visit. I was pretty appalled when I found that they knocked the number of plastic pawns down from 4 to three. Wow!!! This must have saved them 1/10 of a penny on every game. Where is the corporate greed going next, or going to end (not likely).",3.0
19,B076HK9H7Z,R2VX1ZQJTVEES0,No pawn pieces,"  I am giving a 3 star only because the seller sent me out a second game without any problems.  But my problem is that I contacted the seller the first time because the game didn't have any playing pieces.  They so kindly sent out a new game immediately. I never opened it until last night 2 month later, just to discover that this game also has no pieces.  So now I have two of these games without any pieces to move around the board.  Im really stumped on how this is even possible.  All we did at the table while getting ready to play this game was laugh at the issue.  gotta laugh. lol",3.0
20,B076HK9H7Z,RQSFZLY2WUEA6,Both Sorry! games missing essential parts,"  My children have enjoyed Sorry! and were due for a new one to replace the one left behind during our vacation. Both the first set Amazon sent and also the replacement set were missing the individual movers, the tokens which are essential to playing the game.",1.0
21,B076HK9H7Z,R2U7G7SS2U6D2L,Impressive game for entry level gamers (AND not only for them!),"  This has been our introduction to games for our son and it capture the entire family. Right number of rules, easy to understand and remember (they are written on the card). Up to 4 players, but also great if you play in two players. quality of the material is good, even if we are playing on this frequently, the cards and the board are still in good shape. It's not only for kids, believe me: I have tried to find some strategies that works well to win the game, so it's for all level of players.",5.0
22,B076HK9H7Z,R30N60HQRR3T2I,Dumbed-down,"  If you are familiar at all with the older version of this game, and loved it like our family did, you may not care for this newer version as much.  The older version provided 4 pawns per person, and the play cards used to have more cards with specific direction, rather than just moving the amount of spaces shown on the card.  This new version offers only 3 pawns per player, and as mentioned before, most of the cards only instruct you to move forward.  This version is boring, and less entertaining, it moves too quickly, and overall, is a disappointment.  I still like to concept of the game, but I would recommend that if you can find an older version, to get that one.",2.0
23,B076HK9H7Z,R1271WBRQ7UI97,Not original game,"  I ordered the Sorry game (family favorite) as a gift for grandson.  I did not realize (my fault) that the game is different from  the original.  It has 3 markers per person vs. 4 and rules have changed to make game easier.  It seems more like a Sorry game for juniors now.  Very disappointed.  Would NOT buy again.  I normally check reviews, but did not consider that game would have changed so “knew” I would like it.  Stupid mistake on my part.",1.0
24,B076HK9H7Z,RLFVRHWOURS88,"Great game, but...","  My children & I have always just loved this game.  I bought it for my son about 12 years & we'd been using the same board, etc all this time.  I decided that we should get a new one to replace the board that was falling apart.  Lo & behold, the new game arrived & needless to say, we were disappointed.  Such poor quality.  Just really flimsy.  Plus, instead of 4 pieces, there are only 3 that you have to get to ""Home"".  It's been dumbed down!We still play it as it's just a fun game, but the kids prefer to use the old board.",3.0
25,B076HK9H7Z,R3Q510EK55ZK17,Wimpy version,"  This felt like the sissy version of Sorry! I played as a kid. You have three pawns instead of four, so you already have less of a challenge. Then the cards changed to make the game easier. You used to have to wait for a one or two to get your pawn out of start. Now, almost any card gets your pawns on the board. It's a lot less challenging, and a lot less ruthless. There really isn't much opportunity for ""revenge"" because the game is too easy. I was incredibly disappointed when I played. So much so, I want to buy a better version and turn this one into a drinking game or give it away.",4.0
26,B076HK9H7Z,R1X59M1CVIDBFU,Wish I’d read reviews,  I really wish I’d thought to read reviews before buying this game. It should mention that it’s changed the whole game up. I will be buying the classic game now because I never dreamed Sorry needed to be revamped for no apparent reason.,2.0
27,B076HK9H7Z,RL6JX06L9UP4S,Not original Game!,"  When I ordered the game, I thought it was the original. I was confused because I didn't realize that there was a different version created in 2013. This version has only 3 pawns and you do not need a two or one to start the game. I was disappointed at first but decided to keep the game because I feel it would be good for younger ages such as preschoolers. I did order the original though to play with my six year old.",5.0
28,B076HK9H7Z,R3E0Z0XATXW2G6,Pacheesi with a twist,"  This is a delightful game, relatively simple for younger players, maybe 6 and up, especially if you're willing to help them the first couple of games and point out what they can take advantage of.  But it's still fun for adults too:  Pacheesi with a few twists like getting to go backwards sometimes.  I love board games and I wish I had more people to play with.",5.0
29,B076HK9H7Z,RKC5OJGGAHVOP,Not the real game! Stripped down nonsense!,"  TLDR version; if you can get an extra pawn of each color, this version is playable as the classic version. Long version: This is NOT the classic game of Sorry; it is a stripped down children's version, and the packaging fails to show it. It is now only 3 pawns instead of 4, you can leave Home on any movement card (instead of 1 or 2) and the Sorry! card allows you to move 4 as an option to swapping places with another player. We fortunately had an extra set of 4-each pawns from a discarded copy of the game.  There is still the original count of 45 cards; you can just play with classic rules for the cards. Honestly, the components are good quality. If you buy this version, at least round up an extra pawn for each color, and it can be played OK. (Or don't buy it at all!)",2.0
30,B08GD242TJ,R1H2W27UTJSNM1,Great for kids and adults!,"  This is a classic! My in laws were just in town and they and my daughter played this for hours multiple days, definitely a game enjoyed by all ages!",5.0
