,asin_id,name,price,rating,no_of_ratings
0,B076HK9H7Z,Sorry! Game,$0,4.7 out of 5 stars,"7,329"
1,B00D7OAOYI,Trouble Game,$0,4.5 out of 5 stars,"7,698"
2,B00C0ULS3G,Battleship Classic Board Game Strategy Game Ages 7 and Up For 2 Players,$0,4.7 out of 5 stars,"3,976"
3,B08636S37Z,Funko Disney The Haunted Mansion – Call of The Spirits Board Game,$24.97,4.4 out of 5 stars,15
4,B00000IVAK,"SEQUENCE- Original SEQUENCE Game with Folding Board, Cards and Chips by Jax",$15.17,4.8 out of 5 stars,"11,519"
5,B07B7KS87Q,Game Of Life,$19.99,4.7 out of 5 stars,"4,159"
6,B08GD242TJ,Hasbro Gaming Guess Who? Game Original Guessing Game for Kids Ages 6 and Up for 2 Players,$9.97,4.8 out of 5 stars,14
7,B01JYVHMVA,Clue Game,$0,4.7 out of 5 stars,"5,206"
8,B00A2HD40E,Pandemic,$0,4.8 out of 5 stars,"7,422"
9,B088QSDB7S,Cephalofair Games Gloomhaven: Jaws of The Lion Strategy Boxed Board Game for ages 12 & Up,$41.50,4.9 out of 5 stars,366
10,B00000DMF5,"Hasbro Gaming Candy Land Kingdom Of Sweet Adventures Board Game For Kids Ages 3 & Up (Amazon Exclusive),Red,Original version",$12.99,4.8 out of 5 stars,"7,308"
11,B085ZNYPR3,"Hunt A Killer Death at The Dive Bar, Immersive Murder Mystery Game -Take on the Unsolved Case as an Independent Challenge, for Date Night or with Family & Friends as Detectives for Game Night, Age 14+",$29.99,4.5 out of 5 stars,150
12,B077MZ2MPW,"Plan B Games Azul Board Game Board Games, Multi-Colored, Full Pack",$28.99,4.8 out of 5 stars,"3,938"
13,B00U26V4VQ,"Catan The Board Game, Multicolor",$0,4.8 out of 5 stars,"10,829"
14,B07T446163,Wavelength,$0,4.7 out of 5 stars,412
15,B01MU9K3XU,Monopoly Classic Game,$19.98,4.8 out of 5 stars,"10,017"
16,B001FA22DC,"Pressman Mancala - Real Wood Folding Set, with Multicolor Stones by Pressman",$8.99,4.6 out of 5 stars,"7,365"
17,B013TO5PDU,Retro Series Clue 1986 Edition Game,$19.99,4.8 out of 5 stars,"2,104"
18,B07QXMJH7L,Stratego Original Game -- New Update - Classic Pawns with No Stickers!,$22.09,4.7 out of 5 stars,733
19,B083YKWBC1,"Hasbro Gaming Monopoly: Disney Villains Edition Board Game for Kids Ages 8 and Up, Play as a Classic Disney Villain",$29.99,4.4 out of 5 stars,52
20,B086B7QPTB,Ravensburger Marvel Villainous: Infinite Power Strategy Board Game for Ages 12 & Up - The Next Chapter of Villainous,$34.99,4.6 out of 5 stars,459
21,B00IZEUFIA,Splendor,$32.38,4.9 out of 5 stars,"5,153"
22,B003HC9734,Betrayal At House On The Hill,$29.49,4.8 out of 5 stars,"5,952"
23,B089HJWNZH,Evil Dead 2: The Board Game,$75.00,4.7 out of 5 stars,14
24,B07TS96J7Q,"Throw Throw Burrito by Exploding Kittens - A Dodgeball Card Game - Family-Friendly Party Games - Card Games for Adults, Teens & Kids",$24.99,4.7 out of 5 stars,"4,843"
25,B00000DMFM,Operation Electronic Board Game With Cards Kids Skill Game Ages 6 and Up (Amazon Exclusive),$19.99,4.7 out of 5 stars,"3,970"
26,B07WMWNYNN,Blockbuster: The Instant Cult Classic Board Game,$15.98,4.6 out of 5 stars,471
27,B00NX627HW,Carcassonne Board Game Standard,$26.99,4.8 out of 5 stars,"4,956"
28,B001P06GX4,Blokus Game [Amazon Exclusive],$24.99,4.8 out of 5 stars,"2,878"
29,B072KD87TW,Cardinal Games Jumanji The Game Action Game,$18.95,4.3 out of 5 stars,"1,761"
