,asin_id,review_id,review_title,review_description,rating
0,B076HK9H7Z,R1OSPWS88F2CUZ,"
DO NOT BUY!!!
","

  I would give this zero stars if I could! If you’re into the original sorry game, DON’T buy this version. They changed the rules entirely while ruining the whole game! There are no longer 4 pawns per person, they only have 3! And rather than only being able to get out on a 1 or 2, you can now get out on any number.. oh and the “sorry!” card which allows you to bump someone back to start, now also has the option to move 4 places. It’s like this game was created for this new generation of entitled children that can’t take the time to finish a challenging game the right way without throwing a fit because they have instant gratification issues. Wish I opened it sooner so I could return it. I am very diasspointed in this update!!

",1.0 out of 5 stars
1,B076HK9H7Z,R1DCFJ8VYSN17B,"
Is this the millennial version?
","

  This is not the original sorry game. It only has 3 pawns per team instead of the traditional 4. The rules are different also. These rules state that you can exit your home zone with any forward moving card..which is everything except for 4?!?! They ruined the game! This is like the millennial version, do everything to make it easier for the players to make it a quick game. Very sad. Look for the original!

",1.0 out of 5 stars
2,B076HK9H7Z,R1V07N4GXA7RSL,"
Wimp and Crybaby Edition
","

  We bought this to replace our old Sorry game that was falling apart.  I wish we had read the reviews first instead of assuming it was still the classic Sorry--it is definitely not.Differences:- Game board design (doesn't look as good, but it doesn't interfere with play)- 3 pawns instead of 4- Sorry cards can be used to move you forward 4 spaces- Can leave Start on ANY forward-moving card- The 2 card doesn't have you draw againHonestly, if I had known those things, I would NOT have bought this game.  One reviewer called it the Millennial version, and I'm going to agree.  The original game was an excellent tool for teaching kids to suck it up if things didn't go the way they wanted.  Everyone else's pawns are out and yours are still in Start because you haven't drawn a 1 or 2?  Too bad!  Your opponent drew a Sorry card and sent you home?  Deal with it!  This new version is for wimps and crybabies.And why only 3 pawns?  Cutting costs, most likely.Hasbro, you've mucked up a great game.  I'll be looking for the real version and donating this one (though I might put a warning on the box).

",1.0 out of 5 stars
3,B076HK9H7Z,R2Z262NZDEU2EY,"
NOT the original/regular Sorry!
","

  Be warned that this is not the sorry you grew up with. This has only three tokens per player, and the rules are different and make it much easier and in my opinion not as fun. I think this version is good for kids ages 4-8ish. My kids are a little older so we returned this and got the original version, which we all love. I don't think the description on this one is clear enough, so we didn't know we weren't getting the normal Sorry that's been around for decades.

",2.0 out of 5 stars
4,B076HK9H7Z,RG3XIFV1PUX9Y,"
Not the classic by a long shot, but okay.
","

  Definitely not the classic game, with only 3 pawns each and cards instead of dice, but this version did go significantly faster than I recall from my childhood. I bought this along with some other games for our biweekly game nights and was pretty disappointed when I opened the box. But it turned out pretty okay. It will be easier to play with younger kids (or adults like my husband) with short attention spans.

",4.0 out of 5 stars
5,B076HK9H7Z,R2H041QAA230ZV,"
Buyer beware! Not the traditional game!
","

  I love classic Sorry and bought this as a replacement for a worn out set. I didn't read the description well enough so it's my fault, but we are very disappointed. This only has 3 pawns for each color and the cards aren't all the same.

",3.0 out of 5 stars
6,B076HK9H7Z,R270ZSYIA1A6TC,"
This is an excellent set in a sturdy box with good cards
","

  This is an excellent set in a sturdy box with good cards, pawns, and gameboard in it for playing a new version of Sorry, not the classic version. For the price and what you get, it's worth it. I knew, though, what I was buying when I bought this game set...that's why I only gave it a 4. I bought it to get the colored cards that were in this set because that's what my daughter wanted for her kids and no other set had them. I put the colored cards in the classic Sorry game set I'm giving my grandson for his birthday. I knew when I bought it that there were only three pawns of each color...I'm giving the pawns to her to use as spares (you know how little things get lost when you have kids! LOL!). I'm not a fan of the tri-fold gameboard, but this gameboard did lie flat without a gap, even though it was thinner that other Sorry gameboards. The pawns are sturdy and in opaque bright colors and the game cards were a trifle thinner than other Sorry game cards but sturdy enough for the usual playing of the game. All in all, if you realize that what you are getting is a new version of Sorry, not the classic version, you will be happy with the quality of the product. I am happy with the quality of the product.

",4.0 out of 5 stars
7,B076HK9H7Z,R2RKD5V1AY4T4Y,"
Four Stars
","

  Since when does each color only have three pieces instead of four?

",4.0 out of 5 stars
8,B076HK9H7Z,RMDX45RE851CV,"
Save your money!
","

  I think Amazon needs to offer a minus star category! Hasbro missed the mark by a country mile on this game. Could the game experts at Hasbro please tell me the reasons behind changing the game so completely from the original version? This version is so bad that we used a fine Sharpie and corrected the cards to read what they were in the original. If you are thinking of buying this game, DON'T! Instead come up with an additional $6 and buy the retro version.

",1.0 out of 5 stars
9,B076HK9H7Z,RKHWNKOK55CXC,"
Not the original game. Rules bent to let everyone feel good. So sad.
","

  This new version is what’s SORRY. they changed all the rules and everyone gets to go everyone. No more actual competition in this game of chance. So sad,so sorry. I want the original game back. This is just as bent and twisted like all the New Democratic rules to let everyone feel like they ‘won’ where’s the competition??? I’m surprised this version didn’t come with a participation trophy for everyone as well.

",1.0 out of 5 stars
10,B076HK9H7Z,R2UIHS3AUR8Y4S,"
Not the same Sorry I grew up with.
","

  This is not the original Sorry I grew up with. They made it way too easy, by changing a few rules (you can move out of start with any forward-moving number card, instead of having to draw a 1 or 2) and decreasing the amount of pieces to move per player to 3. After playing the old one with my young kids, this one was a major let down. If you can, track down the older version. Skip this one.

",1.0 out of 5 stars
11,B076HK9H7Z,R3C3FCTLE3MO2L,"
Missing pieces
","

  Just opened the game to find a missing blue, red and green piece.

",1.0 out of 5 stars
12,B076HK9H7Z,R3P12ZPE1K83WM,"
This is a great step before we move onto tougher games
","

  Haven't played this since I was a kid.  Now my 6 year old MAKES me play! hehe.  She learned basic moving with 'Chutes and Ladders' so I moved up to this.  She's learning how to juggle three pawns and learning strategy.  This is a great step before we move onto tougher games.

",4.0 out of 5 stars
13,B076HK9H7Z,R3HUP4TZVNPVM,"
The older version is much better.
","

  There are a bunch of rule changes and only has 3 pieces per color.  The older version is much better.

",1.0 out of 5 stars
14,B076HK9H7Z,R3VTSCGM76CY5V,"
NOT the original SORRY!
","

  This is NOT like the original SORRY! game.  I would NOT purchase if you’re looking for the original.  This game only has 3 pawns per color, the rules are different (you can leave start on any number..) it’s just a cheap version and nothing indicates that it would be this way. Spend the extra $$ and buy the real game.

",1.0 out of 5 stars
15,B076HK9H7Z,R21L3BK3B5LXO1,"
Dumbed down version, unclear description
","

  Im an frustrated. I bought this game, for $5, thinking its a good cheap game. Who doesnt love sorry?! But it is the dumbed down version of this game. Only 3 pawns each, and rules and cards are different. I would not have purchased this version had i known. I even read the description which stated 4 pawns. I havent decided if i will return it yet. But this is super disappointing.

",2.0 out of 5 stars
16,B076HK9H7Z,RDAT6TBRS7IPO,"
Does not include fire and ice rules :-/
","

  We ordered this during the holiday sale because our friends had it and we absolutely loved playing it. The deal seemed like a steal too. We finally got round to opening it this week to play and it has no fire and ice tokens or cards! It is the super old version which is super boring!! I wish they would have listed that somewhere. It was a total waste of money as it is quite boring without those 2 tokens. Be warned that it does NOT include those so the cards also dont have any taking all the fun away!Now figuring out how to return :-/

",1.0 out of 5 stars
17,B076HK9H7Z,RQSFZLY2WUEA6,"
Both Sorry! games missing essential parts
","

  My children have enjoyed Sorry! and were due for a new one to replace the one left behind during our vacation. Both the first set Amazon sent and also the replacement set were missing the individual movers, the tokens which are essential to playing the game.

",1.0 out of 5 stars
