,asin_id,review_id,review_title,review_description,rating
0,B07YNJC9Q2,R6P8F4TUXAF2B,"
I really liked this edition
","

  I really liked this edition. I used to have the 1998 edition as a kid, so the idea of only 5 armies, and cardboard containers was offputting to say the least. However, after having played the game again several times with my buddies, I do agree that 6 armies is too much for the actual gameboard. Even with 5 the board feels very crowded and there is a lot of pressure on the 5th player to find their footing, with 6 players, I can clearly see that someone would be eliminated within the first 3 or 4 turns. The cardboard containers are not as nice as the plastic ones that came with the 1998 edition, but they serve their purpose well. The game board lists that there are 40 infantry pieces per army, but all the armies in mine had 2 extra infantry pieces. The cards are built well enough, and the game includes the secret mission cards which can shorten the length of the game significantly. A lot of territories have different names in this edition, but i believe their placement and borders are all the same as before.  Overall I am very satisfied with the gameboard.

",5.0 out of 5 stars
1,B07YNJC9Q2,R82DOZ2U32ZJA,"
Best edition yet!!!
","

  As someone who has enjoyed this game for almost 30 years I have owned many sets/editions. This is my favorite by far. The superb quality of the box with its metal corners and leather like straps.To the detailed map board and cards! Even the textures/details of the soldiers are amazing. This set actually came with a few extra soldiers for each color (I got 44 each instead of 40)!!!

",5.0 out of 5 stars
2,B07YNJC9Q2,R3PYH8XMZP43Z9,"
Hidden Dice - They ARE There! Check in the Army Boxes!
","

  After reading the reviews I was concerned about the Dice, so I opened the box and couldn't find them right away. I remembered reading a review on here saying they were included, just in a weird spot. So I looked in each little Army box, and finally found them in the Indigo/Purple colored box. So before you return your game, look in each box and double check, and look under the army figures too. I was prepared to buy the dice separately, if missing, but they were there.The game itself looks great, I was really impressed by the boxes full of the colored armies, such a nice way to keep organized. The figures are small and lightweight, but they seem decent, and they'll be better to play with than the little chips in some other versions of the game. All-in-all, I'm very pleased with the purchase.

",5.0 out of 5 stars
3,B07YNJC9Q2,R634XCF53ZECQ,"
Risk Game
","

  I've never played the game before so it took about 3 full games to fully grasp the rules and concept.To break down the set up for anyone wanting to buy it;1. Seperate secret mission and land cards from each other.2. Deal out secret mission cards; 1 per person (you could win by completing it)3. Remove the 2 wild cards (has the infantry, horse, and cannon on one card) from the land cards and deal them all out. The last 2 players usually claim an extra land piece.4. Each player receives a set amount of troops (check rule book). Place 1 troop on all the places listed on your given land cards.5. Return the land card to the dealer and start placing your remaining troops on your land. And done you have set up the game and o yeah the dice are in one of the troop boxes.Note:Somethings that I discovered or want to clarify1. Moving your troops to place you own concludes your turn.2. You could only receive one Risk territory card per turn after you conquer a piece of land.3. You can only redeem territory cards at the beginning of your turn and any territory you own on the card receives a +2 troops.4. There's a route from Alaska that leads to Asia.

",5.0 out of 5 stars
4,B07YNJC9Q2,R1BLLGJML2Z8XR,"
A classic!
","

  My son is into plenty of electronic games - be they tablet, console, PC, etc. - so I wanted to get him an actual board game to play for once.  I had fond memories of playing Risk with my friends 20+ years ago, and when I went looking for it Amazon had the best price.  The game has actually gotten better - the version I had included the old-school Roman numeral pieces, and the new ones look much better.  I also really like the addition of the Secret Mission way to play, because it's a much shorter game and you can finish a game in less than an hour if need be.

",5.0 out of 5 stars
5,B07YNJC9Q2,RZ2D2RZ5XDYAO,"
Fun for family game night.
","

  My 10 year old son loves this game!  All of his friends seem to live it too!  The instructions explain 4 different ways to play; Secret Mission, Classic, Risk for 2 players, and Capital. It is great to have the choices. Secret mission risks seems to shorten the length of play, so when time is a factor, we play that version. My 5 year old even plays. He can play on a team with an adult.

",5.0 out of 5 stars
6,B07YNJC9Q2,R2A9FAVOAWPIBX,"
The map design and quality of all pieces are great. The miniature doesn't have any issue.
","

  Amazing quality and design! Totally worth it. Super recomend for any Risk fans or players who want to learn how to play!

",5.0 out of 5 stars
7,B07YNJC9Q2,RNHNA5VI8SI19,"
torn box
","

  the game came in a torn box, but was bought at full price, without a discount. attaching photo. very unpleasant, since I bought not from the discount section. buyers should know that they can buy the game at full price and get the game in a torn box

",2.0 out of 5 stars
8,B07YNJC9Q2,R3LYEMIIRFXK1X,"
Excellent classic game
","

  This is game is a classic! It was really neat to see an updated version of the game I grew up playing in the 90s.The game was safely packaged and had no problems in shipping or in quality. All pieces were in tact. The map board looks great! We opened it for our first play this past weekend.The game is great because you can play as a beginner or with an advanced strategy. You'll develop plans of where to start your armies, what favorite territories you like, etc. The instructions are easy enough to follow for people without any experience playing Risk.Bring snacks, drinks, and buckle up for a head-to-head fight over land!Great purchase!

",5.0 out of 5 stars
9,B07YNJC9Q2,R3B2G65SO8G1SC,"
Bad manufacturing! Bummed because I was looking forward to ...
","

  Ordered this board game but itCame with missing parts. Ordered a replacement and that too had missing parts! Bad manufacturing! Bummed because I was looking forward to playing the game!

",1.0 out of 5 stars
