,asin_id,name,price,avg_rating,no_of_ratings
0,B076HK9H7Z,Sorry! Game,0.0,4.7,7329
1,B00D7OAOYI,Trouble Game,0.0,4.5,7698
2,B00C0ULS3G,Battleship Classic Board Game Strategy Game Ages 7 and Up For 2 Players,0.0,4.7,3976
3,B08636S37Z,Funko Disney The Haunted Mansion – Call of The Spirits Board Game,24.97,4.4,15
4,B00000IVAK,"SEQUENCE- Original SEQUENCE Game with Folding Board, Cards and Chips by Jax",15.17,4.8,11519
5,B07B7KS87Q,Game Of Life,19.99,4.7,4159
6,B08GD242TJ,Hasbro Gaming Guess Who? Game Original Guessing Game for Kids Ages 6 and Up for 2 Players,9.97,4.8,14
7,B01JYVHMVA,Clue Game,0.0,4.7,5206
8,B00A2HD40E,Pandemic,0.0,4.8,7422
9,B088QSDB7S,Cephalofair Games Gloomhaven: Jaws of The Lion Strategy Boxed Board Game for ages 12 & Up,41.5,4.9,366
10,B00000DMF5,"Hasbro Gaming Candy Land Kingdom Of Sweet Adventures Board Game For Kids Ages 3 & Up (Amazon Exclusive),Red,Original version",12.99,4.8,7308
11,B085ZNYPR3,"Hunt A Killer Death at The Dive Bar, Immersive Murder Mystery Game -Take on the Unsolved Case as an Independent Challenge, for Date Night or with Family & Friends as Detectives for Game Night, Age 14+",29.99,4.5,150
12,B077MZ2MPW,"Plan B Games Azul Board Game Board Games, Multi-Colored, Full Pack",28.99,4.8,3938
13,B00U26V4VQ,"Catan The Board Game, Multicolor",0.0,4.8,10829
14,B07T446163,Wavelength,0.0,4.7,412
15,B01MU9K3XU,Monopoly Classic Game,19.98,4.8,10017
16,B001FA22DC,"Pressman Mancala - Real Wood Folding Set, with Multicolor Stones by Pressman",8.99,4.6,7365
17,B013TO5PDU,Retro Series Clue 1986 Edition Game,19.99,4.8,2104
18,B07QXMJH7L,Stratego Original Game -- New Update - Classic Pawns with No Stickers!,22.09,4.7,733
19,B083YKWBC1,"Hasbro Gaming Monopoly: Disney Villains Edition Board Game for Kids Ages 8 and Up, Play as a Classic Disney Villain",29.99,4.4,52
20,B086B7QPTB,Ravensburger Marvel Villainous: Infinite Power Strategy Board Game for Ages 12 & Up - The Next Chapter of Villainous,34.99,4.6,459
21,B00IZEUFIA,Splendor,32.38,4.9,5153
22,B003HC9734,Betrayal At House On The Hill,29.49,4.8,5952
23,B089HJWNZH,Evil Dead 2: The Board Game,75.0,4.7,14
24,B07TS96J7Q,"Throw Throw Burrito by Exploding Kittens - A Dodgeball Card Game - Family-Friendly Party Games - Card Games for Adults, Teens & Kids",24.99,4.7,4843
25,B00000DMFM,Operation Electronic Board Game With Cards Kids Skill Game Ages 6 and Up (Amazon Exclusive),19.99,4.7,3970
26,B07WMWNYNN,Blockbuster: The Instant Cult Classic Board Game,15.98,4.6,471
27,B00NX627HW,Carcassonne Board Game Standard,26.99,4.8,4956
28,B001P06GX4,Blokus Game [Amazon Exclusive],24.99,4.8,2878
29,B072KD87TW,Cardinal Games Jumanji The Game Action Game,18.95,4.3,1761
30,B00000IWD0,"Sorry Board Game, Game Night, Ages 6 and up (Amazon Exclusive)",19.99,4.8,1889
31,B07YQ641NQ,"Wingspan Board Game - A Bird-Collection, Engine-Building Stonemaier Game for 1-5 Players, Ages 14+",45.5,4.9,1224
32,B01MS6B7BV,Don't Break the Ice Game,12.99,4.8,3578
33,B07RJTFRFK,Buffalo Games Pac-Man - The Board Game,19.99,4.3,827
34,B06XY48MK1,Gaming The Game of Life Board Game Ages 8 & Up (Amazon Exclusive),19.99,4.7,2417
35,B00IL5XY9K,Scrabble Game,0.0,4.7,5296
36,B08C564VVT,Gamemaster,3.99,4.4,2020
37,1947494503,Gale Force Nine Dune Board Game,39.99,4.8,389
38,B07PQFN8H8,"Kangaroo's 14.75"" Faux Leather Vinyl Backgammon Set; Favorite Board Game; Best in Classic Board Games",34.95,4.7,486
39,B07QQHTD4Q,Ravensburger Horrified: Universal Monsters Strategy Board Game for Ages 10 & Up (60001836),34.97,4.7,1658
40,B00134MJWE,Winning Moves Games Parcheesi Royal Edition,16.99,4.8,2816
41,B086B89SB4,Ravensburger Disney Hocus Pocus: The Game for Ages 8 an Up - A Cooperative Game of Magic and Mayhem,19.99,4.6,805
42,B083S1R2Z1,Plunder A Pirate's Life Board Game,49.99,4.7,99
43,B010TQY7A8,"Exploding Kittens Card Game, Red, Large",19.99,4.7,35208
44,B07LC1TYC2,North Star Games The Quacks of Quedlinburg Board Game | Be The Best Quack Doctor in Town!,48.98,4.9,321
45,B003AIM52A,"Hedbanz Picture Guessing Board Game, for Families and Kids Ages 8 and up",11.96,4.7,4652
46,B00TLEMRKM,Yahtzee,0.0,4.8,7032
47,B01MXWTYLF,Othello - The Classic Board Game of Strategy,19.1,4.8,1123
48,B016LBWYTQ,Hasbro Gaming Marvel Spider-Man Web Warriors Chutes & Ladders Game,16.99,4.8,945
51,B06XYL6Y5C,Hasbro Gaming Taboo Party Board Game With Buzzer for Kids Ages 13 and Up (Amazon Exclusive),19.8,4.8,1389
53,B01NCV05QJ,Cranium Game,14.99,4.6,943
56,B07QKY4ZVK,Pressman Amazon Exclusive Bonus Edition Let's Go Fishin' - Includes Lucky Ducks Make-A-Match Game!,9.98,4.4,6372
57,B074K5W5N5,Blue Orange Games Photosynthesis Board Game - Award Winning Family or Adult Strategy Board Game for 2 to 4 Players. Recommended for Ages 8 & Up.,33.87,4.7,1238
59,B07DLGD9K6,Ravensburger Disney Villainous Strategy Board Game for Age 10 & Up - 2019 TOTY Game of The Year Award Winner,34.97,4.7,4793
60,B07RMJ8SG6,"Skillmatics Guess in 10 : Animal Planet (Ages 6-99) | Card Game of Smart Questions | General Knowledge for Kids, Adults and Families | Gifts for Boys and Girls",13.99,4.6,3306
61,B00S732WJE,"Winning Moves Games Guess Who? Board Game, Multicolor (1191)",13.69,4.6,3336
62,B00I4J63WI,Pressman Charades for Kids -- The 'No Reading Required' Family Game,11.99,4.7,1784
63,B008FD8ETS,Hungry Hungry Hippos,19.99,4.4,5912
